3,0.00,PNumber:999,Gender:,Age:
1,117.19,16.22,322.94,0.00
1,117.20,16.53,321.43,0.00
1,117.24,16.60,317.30,0.00
1,117.25,16.60,315.33,0.00
1,117.29,16.60,311.17,0.00
1,117.30,16.60,309.20,0.00
1,117.34,16.60,305.11,0.00
1,117.35,16.12,303.16,0.00
1,117.39,14.74,300.83,0.00
1,117.40,14.16,300.43,0.00
1,117.49,14.90,300.35,0.00
1,117.50,16.36,300.35,0.00
1,117.54,20.48,300.35,0.00
1,117.55,22.59,300.35,0.00
1,117.59,26.62,300.50,0.00
1,117.60,28.66,300.70,0.00
1,117.64,32.75,301.25,0.00
1,117.65,34.83,301.67,0.00
1,117.69,38.85,302.83,0.00
1,117.70,40.84,303.51,0.00
1,117.74,44.35,305.40,0.00
1,117.75,46.16,306.48,0.00
1,117.79,49.58,308.67,0.00
1,117.80,51.09,310.02,0.00
1,117.84,53.31,313.30,0.00
1,117.85,54.07,315.17,0.00
1,117.89,54.51,319.16,0.00
1,117.90,54.51,321.25,0.00
1,117.94,54.51,325.28,0.00
1,117.95,54.51,327.35,0.00
1,117.99,54.51,331.40,0.00
1,118.00,54.51,333.45,0.00
1,118.04,54.51,337.52,0.00
1,118.05,54.51,339.60,0.00
1,118.09,54.44,343.56,0.00
1,118.10,54.41,345.32,0.00
1,118.14,54.41,345.91,0.00
1,118.45,54.48,344.70,0.00
1,118.49,55.37,341.34,0.00
1,118.50,55.92,339.41,0.00
1,118.54,57.07,335.41,0.00
1,118.55,57.66,333.46,0.00
1,118.59,59.21,329.42,0.00
1,118.60,60.00,327.52,0.00
1,118.64,60.00,323.57,0.00
1,118.65,60.00,321.69,0.00
